obs_ID,root_ID,SampleId,RootName,Tube,Location,Date,Time,Session,DataGatherer,BirthSession,DeathSession,TotLength_mm,TotProjArea_mm2,TotSurfArea_mm2,TotAvgDiam_cm,TotVolume_mm3,AliveLength_mm,AliveProjArea_mm2,AliveSurfArea_mm2,AliveAvgDiam_cm,AliveVolume_mm3,DeadLength_mm,DeadProjArea_mm2,DeadSurfArea_mm2,DeadAvgDiam_cm,DeadVolume_mm3,GoneLength_mm,GoneProjArea_mm2,GoneSurfArea_mm2,GoneAvgDiam_cm,GoneVolume_mm3,TipDiam,TipLivStatus,HighestOrder,ExtPathLength,Altitude
1_12_25_R1,12_25_R1,BRUROOTSTUDY2020_T012_L025_2020.04.21_110235_001_SAS.jpg,R1,12,25,2020.04.21,110235,1,SAS,1,0,41.29,21.9453,68.9433,5.3149,12.4313,41.29,21.9453,68.9433,5.3149,12.4313,0,0,0,0,0,0,0,0,0,0,5.1494,A,1,109,23
2_12_25_R1,12_25_R1,BRUROOTSTUDY2020_T012_L025_2020.05.25_104347_002_SAS.jpg,R1,12,25,2020.05.25,104347,2,SAS,1,0,44.0197,23.0849,72.5235,5.2442,13.047,44.0197,23.0849,72.5235,5.2442,13.047,0,0,0,0,0,0,0,0,0,0,5.1494,A,1,130,25
3_12_25_R1,12_25_R1,BRUROOTSTUDY2020_T012_L025_2020.06.25_101359_003_SAS.jpg,R1,12,25,2020.06.25,101359,3,SAS,1,0,42.4098,22.5449,70.827,5.316,12.8892,42.4098,22.5449,70.827,5.316,12.8892,0,0,0,0,0,0,0,0,0,0,5.1494,A,1,129,24
4_12_25_R1,12_25_R1,BRUROOTSTUDY2020_T012_L025_2020.07.29_104853_004_SAS.jpg,R1,12,25,2020.07.29,104853,4,SAS,1,0,42.4098,22.5449,70.827,5.316,12.8892,42.4098,22.5449,70.827,5.316,12.8892,0,0,0,0,0,0,0,0,0,0,5.1494,A,1,129,24
5_12_5_R16,12_5_R16,BRUROOTSTUDY2020_T012_L005_2020.08.27_102045_005_SAS.jpg,R16,12,5,2020.08.27,102045,5,SAS,4,0,43.2826,11.878,37.3157,2.7443,2.9931,43.2826,11.878,37.3157,2.7443,2.9931,0,0,0,0,0,0,0,0,0,0,4.3363,A,3,75,13
4_13_24_R4,13_24_R4,BRUROOTSTUDY2020_T013_L024_2020.07.29_110008_004_SAS.jpg,R4,13,24,2020.07.29,110008,4,SAS,4,0,41.5405,21.3434,67.0522,5.138,9.1987,41.5405,21.3434,67.0522,5.138,9.1987,0,0,0,0,0,0,0,0,0,0,5.9624,A,1,48,15
1_14_27_R1,14_27_R1,BRUROOTSTUDY2020_T014_L027_2020.04.21_113608_001_SAS.jpg,R1,14,27,2020.04.21,113608,1,SAS,1,0,55.4755,22.4779,70.6165,4.0519,7.4757,55.4755,22.4779,70.6165,4.0519,7.4757,0,0,0,0,0,0,0,0,0,0,5.1494,A,3,156,25
2_14_27_R1,14_27_R1,BRUROOTSTUDY2020_T014_L027_2020.05.25_105724_002_SAS.jpg,R1,14,27,2020.05.25,105724,2,SAS,1,0,51.5871,21.1202,66.3511,4.0941,7.09,51.5871,21.1202,66.3511,4.0941,7.09,0,0,0,0,0,0,0,0,0,0,5.1494,A,3,156,25
3_14_27_R1,14_27_R1,BRUROOTSTUDY2020_T014_L027_2020.06.25_105240_003_SAS.jpg,R1,14,27,2020.06.25,105240,3,SAS,1,0,49.9691,20.5511,64.5633,4.1128,6.9305,49.9691,20.5511,64.5633,4.1128,6.9305,0,0,0,0,0,0,0,0,0,0,5.1494,A,3,166,26
4_14_27_R1,14_27_R1,BRUROOTSTUDY2020_T014_L027_2020.07.29_110535_004_SAS.jpg,R1,14,27,2020.07.29,110535,4,SAS,1,0,53.3404,21.7061,68.1919,4.0694,7.2549,53.3404,21.7061,68.1919,4.0694,7.2549,0,0,0,0,0,0,0,0,0,0,5.1494,A,3,172,26
