obs_ID,root_ID,SampleId,RootName,Tube,Location,Date,Time,Session,DataGatherer,BirthSession,DeathSession,TotLength_mm,TotProjArea_mm2,TotSurfArea_mm2,TotAvgDiam_cm,TotVolume_mm3,Length_mm,ProjArea_mm2,SurfArea_mm2,AvgDiam_cm,Volume_mm3,TipDiam,TipLivStatus,HighestOrder,ExtPathLength,Altitude,root_status
3_14_17_R3,14_17_R3,BRUROOTSTUDY2020_T014_L017_2020.06.25_105150_003_SAS.jpg,R3,14,17,2020.06.25,105150,3,SAS,1,3,28.2489,10.766,33.8223,3.8111,3.9239,27.2779,10.0292,31.5076,3.6767,3.4847,2.7102,A,1,29,12,Alive
3_14_17_R3,14_17_R3,BRUROOTSTUDY2020_T014_L017_2020.06.25_105150_003_SAS.jpg,R3,14,17,2020.06.25,105150,3,SAS,1,3,28.2489,10.766,33.8223,3.8111,3.9239,0.9709,0.7368,2.3147,7.5885,0.4391,2.7102,A,1,29,12,Gone
4_16_25_R1,16_25_R1,BRUROOTSTUDY2020_T016_L025_2020.07.29_111708_004_SAS.jpg,R1,16,25,2020.07.29,111708,4,SAS,1,0,4.6253,0.8401,2.6393,1.8163,0.135,0.3085,0.0669,0.2101,2.1682,0.0114,2.1682,G,1,13,6,Alive
4_16_25_R1,16_25_R1,BRUROOTSTUDY2020_T016_L025_2020.07.29_111708_004_SAS.jpg,R1,16,25,2020.07.29,111708,4,SAS,1,0,4.6253,0.8401,2.6393,1.8163,0.135,4.3168,0.7732,2.4291,1.7912,0.1236,2.1682,G,1,13,6,Gone
5_16_25_R1,16_25_R1,BRUROOTSTUDY2020_T016_L025_2020.08.27_104720_005_SAS.jpg,R1,16,25,2020.08.27,104720,5,SAS,1,0,4.6253,0.8401,2.6393,1.8163,0.135,0.3085,0.0669,0.2101,2.1682,0.0114,2.1682,G,1,13,6,Alive
5_16_25_R1,16_25_R1,BRUROOTSTUDY2020_T016_L025_2020.08.27_104720_005_SAS.jpg,R1,16,25,2020.08.27,104720,5,SAS,1,0,4.6253,0.8401,2.6393,1.8163,0.135,4.3168,0.7732,2.4291,1.7912,0.1236,2.1682,G,1,13,6,Gone
6_12_8_R2,12_8_R2,BRUROOTSTUDY2020_T012_L008_2020.09.30_105946_006_SAS.jpg,R2,12,8,2020.09.30,105946,6,SAS,1,0,5.4277,2.0736,6.5143,3.8203,0.6488,0.2421,0.0984,0.3092,4.0653,0.0314,4.0653,D,1,10,6,Alive
6_12_8_R2,12_8_R2,BRUROOTSTUDY2020_T012_L008_2020.09.30_105946_006_SAS.jpg,R2,12,8,2020.09.30,105946,6,SAS,1,0,5.4277,2.0736,6.5143,3.8203,0.6488,5.1857,1.9752,6.2052,3.8089,0.6174,4.0653,D,1,10,6,Dead
6_16_25_R1,16_25_R1,BRUROOTSTUDY2020_T016_L025_2020.09.30_113150_006_SAS.jpg,R1,16,25,2020.09.30,113150,6,SAS,1,0,4.6253,0.8401,2.6393,1.8163,0.135,0.3085,0.0669,0.2101,2.1682,0.0114,2.1682,G,1,13,6,Alive
6_16_25_R1,16_25_R1,BRUROOTSTUDY2020_T016_L025_2020.09.30_113150_006_SAS.jpg,R1,16,25,2020.09.30,113150,6,SAS,1,0,4.6253,0.8401,2.6393,1.8163,0.135,4.3168,0.7732,2.4291,1.7912,0.1236,2.1682,G,1,13,6,Gone
