date,days_since_cut,Block,Composition,plot_id,Treatment,LAI,SEM,Date,composition,treatment,month_num,root_month
7/3/20,18,1,BG,2A,UC,2.8,3.529,2020-07-03,bahia,control,7,6
7/3/20,18,1,BG,2B,C,1.179,0.4696,2020-07-03,bahia,cut,7,6
7/3/20,18,1,BG,2C,CM,1.095,6.748,2020-07-03,bahia,cut+manure,7,6
7/3/20,18,2,BGRP,4A,C,1.138,2.764,2020-07-03,mixed,cut,7,6
7/3/20,18,2,BGRP,4B,UC,4.76,3.955,2020-07-03,mixed,control,7,6
7/3/20,18,2,BGRP,4C,CM,1.481,2.928,2020-07-03,mixed,cut+manure,7,6
7/3/20,18,3,BGRP,9A,CM,1.892,4.649,2020-07-03,mixed,cut+manure,7,6
7/3/20,18,3,BGRP,9B,C,2.308,6.875,2020-07-03,mixed,cut,7,6
7/3/20,18,3,BGRP,9C,UC,5.444,3.834,2020-07-03,mixed,control,7,6
7/3/20,18,4,BG,10A,CM,0.874,4.549,2020-07-03,bahia,cut+manure,7,6
7/3/20,18,4,BG,10B,UC,4.625,7.452,2020-07-03,bahia,control,7,6
7/3/20,18,4,BG,10C,C,1.98,3.211,2020-07-03,bahia,cut,7,6
7/3/20,18,5,BGRP,13A,C,1.023,3.646,2020-07-03,mixed,cut,7,6
7/3/20,18,5,BGRP,13B,CM,1.546,5.449,2020-07-03,mixed,cut+manure,7,6
7/3/20,18,5,BGRP,13C,UC,3.728,3.905,2020-07-03,mixed,control,7,6
7/3/20,18,6,BG,18A,CM,1.454,4.737,2020-07-03,bahia,cut+manure,7,6
7/3/20,18,6,BG,18B,UC,1.667,4.668,2020-07-03,bahia,control,7,6
7/3/20,18,6,BG,18C,C,0.555,0.657,2020-07-03,bahia,cut,7,6
7/3/20,18,7,BGRP,20A,UC,1.883,3.732,2020-07-03,mixed,control,7,6
7/3/20,18,7,BGRP,20B,C,0.705,5.329,2020-07-03,mixed,cut,7,6
7/3/20,18,7,BGRP,20C,CM,0.889,6.144,2020-07-03,mixed,cut+manure,7,6
7/3/20,18,8,BG,22A,C,1.064,1.95,2020-07-03,bahia,cut,7,6
7/3/20,18,8,BG,22B,UC,3.767,4.285,2020-07-03,bahia,control,7,6
7/3/20,18,8,BG,22C,CM,2.517,4.624,2020-07-03,bahia,cut+manure,7,6
7/30/20,9,1,BG,2A,UC,3.528,4.137,2020-07-30,bahia,control,7,7
7/30/20,9,1,BG,2B,C,0.921,6.709,2020-07-30,bahia,cut,7,7
7/30/20,9,1,BG,2C,CM,0.507,0,2020-07-30,bahia,cut+manure,7,7
7/30/20,9,2,BGRP,4A,C,0.67,4.417,2020-07-30,mixed,cut,7,7
7/30/20,9,2,BGRP,4B,UC,7.065,1.65,2020-07-30,mixed,control,7,7
7/30/20,9,2,BGRP,4C,CM,0.51,4.548,2020-07-30,mixed,cut+manure,7,7
7/30/20,9,3,BGRP,9A,CM,0.858,2.306,2020-07-30,mixed,cut+manure,7,7
7/30/20,9,3,BGRP,9B,C,1.027,4.522,2020-07-30,mixed,cut,7,7
7/30/20,9,3,BGRP,9C,UC,6.01,5.913,2020-07-30,mixed,control,7,7
7/30/20,9,4,BG,10A,CM,0.728,6.554,2020-07-30,bahia,cut+manure,7,7
7/30/20,9,4,BG,10B,UC,4.916,5.738,2020-07-30,bahia,control,7,7
7/30/20,9,4,BG,10C,C,0.867,2.987,2020-07-30,bahia,cut,7,7
7/30/20,9,5,BGRP,13A,C,1.568,18.91,2020-07-30,mixed,cut,7,7
7/30/20,9,5,BGRP,13B,CM,0.569,6.612,2020-07-30,mixed,cut+manure,7,7
7/30/20,9,5,BGRP,13C,UC,5.29,3.924,2020-07-30,mixed,control,7,7
7/30/20,9,6,BG,18A,CM,0.776,5.801,2020-07-30,bahia,cut+manure,7,7
7/30/20,9,6,BG,18B,UC,2.194,1.485,2020-07-30,bahia,control,7,7
7/30/20,9,6,BG,18C,C,0.523,3.059,2020-07-30,bahia,cut,7,7
7/30/20,9,7,BGRP,20A,UC,2.985,2.884,2020-07-30,mixed,control,7,7
7/30/20,9,7,BGRP,20B,C,0.595,5.498,2020-07-30,mixed,cut,7,7
7/30/20,9,7,BGRP,20C,CM,0.571,5.824,2020-07-30,mixed,cut+manure,7,7
7/30/20,9,8,BG,22A,C,0.957,6.457,2020-07-30,bahia,cut,7,7
7/30/20,9,8,BG,22B,UC,5.23,2.439,2020-07-30,bahia,control,7,7
7/30/20,9,8,BG,22C,CM,1.003,5.041,2020-07-30,bahia,cut+manure,7,7
8/28/20,8,1,BG,2A,UC,4.916,3.928,2020-08-28,bahia,control,8,8
8/28/20,8,1,BG,2B,C,0.803,11.56,2020-08-28,bahia,cut,8,8
