block,composition,plot,subplot,treatment,type,month,live_wt_g,dead_wt_g,plot_id,month_num,rhizotron_tube,avg_vwc,avg_temp,max_temp,min_temp,avg_lai,avg_sem
1,bahia,2,A,control,1x1,march,NA,NA,2A,3,1,4.633333333333334,16.833333333333332,19.7,14.5,NA,NA
1,bahia,2,B,cut,1x1,march,8.66,7.628,2B,3,2,4.133333333333333,16.933333333333334,19.8,14.5,NA,NA
1,bahia,2,C,cut+manure,1x1,march,6.692,5.378,2C,3,3,4.7,17.3,20,14.9,NA,NA
2,mixed,4,A,cut,1x1,march,6.656,6.154,4A,3,4,4.533333333333333,17.1,19.8,15,NA,NA
2,mixed,4,B,control,1x1,march,NA,NA,4B,3,5,5,16.933333333333334,19.6,15,NA,NA
2,mixed,4,C,cut+manure,1x1,march,6.347,5.718,4C,3,6,5.766666666666667,16.866666666666667,19.4,15,NA,NA
3,mixed,9,A,cut+manure,1x1,march,6.11,5.46,9A,3,7,4.4,16.866666666666667,19.8,15,NA,NA
3,mixed,9,B,cut,1x1,march,5.646,7.033,9B,3,8,4.366666666666666,17.166666666666668,19.8,15.5,NA,NA
3,mixed,9,C,control,1x1,march,NA,NA,9C,3,9,4.1,17.266666666666666,19.8,15.8,NA,NA
4,bahia,10,A,cut+manure,1x1,march,13.662,9.308,10A,3,10,6,17.2,19.7,15.7,NA,NA
4,bahia,10,B,control,1x1,march,NA,NA,10B,3,11,6.333333333333333,17.233333333333334,19.7,15.8,NA,NA
4,bahia,10,C,cut,1x1,march,12.773,6.08,10C,3,12,3.3,17.166666666666668,19.7,15.7,NA,NA
5,mixed,13,A,cut,1x1,march,1.396,1.138,13A,3,13,4.133333333333333,18,21.2,16,NA,NA
5,mixed,13,B,cut+manure,1x1,march,4.785,2.384,13B,3,14,3.1,17.96666666666667,21.2,16.1,NA,NA
5,mixed,13,C,control,1x1,march,NA,NA,13C,3,15,4.166666666666666,18,21.2,16,NA,NA
6,bahia,18,A,cut+manure,1x1,march,0,0,18A,3,16,2.6999999999999997,18.066666666666666,21,16.5,NA,NA
6,bahia,18,B,control,1x1,march,NA,NA,18B,3,17,3.8666666666666667,17.96666666666667,21.1,16.3,NA,NA
6,bahia,18,C,cut,1x1,march,12.164,4.268,18C,3,18,4.1,17.966666666666665,21.2,16.2,NA,NA
7,bahia,20,A,control,1x1,march,NA,NA,20A,3,19,2.7666666666666666,17.8,20.9,15.9,NA,NA
7,bahia,20,B,cut,1x1,march,1.309,1.93,20B,3,20,5.2,17.866666666666667,21.2,16.2,NA,NA
7,bahia,20,C,cut+manure,1x1,march,1.489,1.019,20C,3,21,4.933333333333334,17.9,21.2,16.1,NA,NA
8,mixed,22,A,cut,1x1,march,4.432,4.482,22A,3,22,2.566666666666667,17.566666666666666,21,15.5,NA,NA
8,mixed,22,B,control,1x1,march,NA,NA,22B,3,23,4.933333333333334,17.433333333333334,20.7,15.6,NA,NA
8,mixed,22,C,cut+manure,1x1,march,6.99,8.056,22C,3,24,5.1,17.466666666666665,20.7,15.5,NA,NA
1,bahia,2,A,control,1x1,april,NA,NA,2A,4,1,6.85,24.05,25.1,23,NA,NA
1,bahia,2,B,cut,1x1,april,17.324,3.092,2B,4,2,4.3,24.4,25.6,23.2,NA,NA
1,bahia,2,C,cut+manure,1x1,april,18.1,1,2C,4,3,7.75,24.35,25.1,23.6,NA,NA
2,mixed,4,A,cut,1x1,april,26.1,1.1,4A,4,4,6.4,24.1,25.6,22.6,NA,NA
2,mixed,4,B,control,1x1,april,NA,NA,4B,4,5,7.8,23.55,24.6,22.5,NA,NA
2,mixed,4,C,cut+manure,1x1,april,31.542,4.165,4C,4,6,5.55,24.1,25.1,23.1,NA,NA
3,mixed,9,A,cut+manure,1x1,april,45.2,4,9A,4,7,6.6,24.6,25.6,23.6,NA,NA
3,mixed,9,B,cut,1x1,april,18.2,2.3,9B,4,8,7,24.35,25,23.7,NA,NA
3,mixed,9,C,control,1x1,april,NA,NA,9C,4,9,5.55,24.5,25.3,23.7,NA,NA
4,bahia,10,A,cut+manure,1x1,april,21.486,9.424,10A,4,10,7.6,24.4,25,23.8,NA,NA
4,bahia,10,B,control,1x1,april,NA,NA,10B,4,11,6.550000000000001,23.6,23.9,23.3,NA,NA
4,bahia,10,C,cut,1x1,april,28.362,3.274,10C,4,12,4.6,24.9,25,24.8,NA,NA
5,mixed,13,A,cut,1x1,april,16.66,1.186,13A,4,13,5.75,24.65,24.7,24.6,NA,NA
5,mixed,13,B,cut+manure,1x1,april,36.723,3.753,13B,4,14,3.55,24.65,24.8,24.5,NA,NA
5,mixed,13,C,control,1x1,april,NA,NA,13C,4,15,6.65,24.4,24.5,24.3,NA,NA
6,bahia,18,A,cut+manure,1x1,april,25.272,6.008,18A,4,16,5.300000000000001,25.25,25.8,24.7,NA,NA
6,bahia,18,B,control,1x1,april,NA,NA,18B,4,17,4.3,25.3,25.3,25.3,NA,NA
6,bahia,18,C,cut,1x1,april,24.608,5.5,18C,4,18,7.15,26.15,26.8,25.5,NA,NA
7,bahia,20,A,control,1x1,april,NA,NA,20A,4,19,5.4,25.5,25.8,25.2,NA,NA
7,bahia,20,B,cut,1x1,april,13.287,1.838,20B,4,20,6.949999999999999,25.6,25.8,25.4,NA,NA
7,bahia,20,C,cut+manure,1x1,april,17.417,2.835,20C,4,21,3.85,25.55,26.3,24.8,NA,NA
8,mixed,22,A,cut,1x1,april,34.37,3.723,22A,4,22,6.35,24.7,25.4,24,NA,NA
8,mixed,22,B,control,1x1,april,NA,NA,22B,4,23,6.1,24,24.4,23.6,NA,NA
8,mixed,22,C,cut+manure,1x1,april,35.919,5.191,22C,4,24,7.3500000000000005,24.65,25.7,23.6,NA,NA
1,bahia,2,A,control,1x1,may,NA,NA,2A,5,1,5.04,23.68,26,20.5,NA,NA
1,bahia,2,B,cut,1x1,may,27.2,NA,2B,5,2,3.34,24.26,26.3,21,NA,NA
1,bahia,2,C,cut+manure,1x1,may,32.1,NA,2C,5,3,4.5,24.06,26,21,NA,NA
2,mixed,4,A,cut,1x1,may,26.6,NA,4A,5,4,4.28,23.5,25.3,21,NA,NA
2,mixed,4,B,control,1x1,may,NA,NA,4B,5,5,4.96,23.04,24.9,20.6,NA,NA
2,mixed,4,C,cut+manure,1x1,may,33.5,NA,4C,5,6,4.96,23.56,25.2,21.1,NA,NA
3,mixed,9,A,cut+manure,1x1,may,38.3,NA,9A,5,7,4.06,23.54,25.7,20.8,NA,NA
3,mixed,9,B,cut,1x1,may,39.4,NA,9B,5,8,5.2,23.44,25.5,20.8,NA,NA
3,mixed,9,C,control,1x1,may,NA,NA,9C,5,9,3.82,23.4,25.2,20.9,NA,NA
4,bahia,10,A,cut+manure,1x1,may,35,NA,10A,5,10,4.62,23.84,25.7,21.6,NA,NA
4,bahia,10,B,control,1x1,may,NA,NA,10B,5,11,4.04,23.38,25.5,21.3,NA,NA
4,bahia,10,C,cut,1x1,may,57,NA,10C,5,12,2.5,23.86,25.8,21.3,NA,NA
5,mixed,13,A,cut,1x1,may,45.7,NA,13A,5,13,4.24,23.96,26.5,21.4,NA,NA
5,mixed,13,B,cut+manure,1x1,may,54.8,NA,13B,5,14,4.28,23.919999999999998,26.2,20.9,NA,NA
5,mixed,13,C,control,1x1,may,NA,NA,13C,5,15,5.26,23.56,25.5,20.7,NA,NA
6,bahia,18,A,cut+manure,1x1,may,82.2,NA,18A,5,16,3.66,24.8,26.8,22.4,NA,NA
6,bahia,18,B,control,1x1,may,NA,NA,18B,5,17,3.42,24.8,27.3,22,NA,NA
6,bahia,18,C,cut,1x1,may,34.4,NA,18C,5,18,4.44,25,27.4,22,NA,NA
7,bahia,20,A,control,1x1,may,NA,NA,20A,5,19,3.42,24.12,26.8,21.4,NA,NA
7,bahia,20,B,cut,1x1,may,28.9,NA,20B,5,20,4.82,24.84,27.4,22.1,NA,NA
7,bahia,20,C,cut+manure,1x1,may,33.8,NA,20C,5,21,3.9,24.74,27,22.3,NA,NA
8,mixed,22,A,cut,1x1,may,50,NA,22A,5,22,3.7399999999999998,24.18,26.3,21.6,NA,NA
8,mixed,22,B,control,1x1,may,NA,NA,22B,5,23,3.88,23.42,25.7,21,NA,NA
8,mixed,22,C,cut+manure,1x1,may,66.5,NA,22C,5,24,5.22,24.08,26.3,21.7,NA,NA
1,bahia,2,A,control,1x1,june,NA,NA,2A,6,1,9.825,25.675,26.6,24.5,NA,NA
